fly position,center of mass,laser status
0,NaN,0
0,147.53,0
0,260.62,0
0,351.66,0
0,429.93,0
0,462.46,0
0,414.7,0
400.12,400.12,0
393.51,393.51,0
389.92,389.92,0
389.92,303.68,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,535.25,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,549.92,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,NaN,0
389.92,520.07,0
517.99,517.99,0
512.25,512.25,0
509.93,509.93,0
506.52,506.52,0
503.14,503.14,0
500.81,500.81,0
495.85,495.85,0
495.25,495.25,0
493.11,493.11,0
492.46,492.46,0
491.22,491.22,0
490.4,490.4,0
492.55,492.55,0
489.54,489.54,0
492.51,492.51,0
487.05,487.05,0
489.71,489.71,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,466.88,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,NaN,0
489.71,466.92,0
489.71,NaN,0
489.71,462.78,0
449.82,449.82,0
462.24,462.24,0
456.52,456.52,0
454.05,454.05,0
452.04,452.04,0
448.78,448.78,0
444.11,444.11,0
439.31,439.31,0
432.42,432.42,0
426.43,426.43,0
422.13,422.13,0
416.53,416.53,0
412.31,412.31,0
403.92,403.92,0
400.04,400.04,0
393.69,393.69,0
390.74,390.74,0
388.72,388.72,0
387.82,387.82,0
388.28,388.28,0
391.8,391.8,0
395.82,395.82,0
394.73,394.73,0
403.76,403.76,0
402.61,402.61,0
401.48,401.48,0
401.67,401.67,0
393.22,393.22,0
381.03,381.03,0
369.19,369.19,0
360.55,360.55,0
351.77,351.77,0
346.78,346.78,0
340.22,340.22,0
332.89,332.89,0
325.35,325.35,0
316.68,316.68,0
312.03,312.03,0
304.38,304.38,0
304.14,304.14,0
302.66,302.66,0
300.36,300.36,0
300.22,300.22,0
300.28,300.28,0
298.91,298.91,0
289.92,289.92,0
290.5,290.5,0
284.68,284.68,0
284.07,284.07,0
282.02,282.02,0
280.64,280.64,0
278.03,278.03,0
269.05,269.05,0
266.47,266.47,0
261.07,261.07,0
257.13,257.13,0
254.31,254.31,0
245.6,245.6,0
241.09,241.09,0
232.07,232.07,0
228.71,228.71,0
222.31,222.31,0
216.85,216.85,0
210.43,210.43,0
201.82,201.82,0
194.27,194.27,0
185.94,185.94,0
174.87,174.87,0
168.36,168.36,0
174.14,174.14,0
174.45,174.45,0
181.22,181.22,0
181.77,181.77,0
185.28,185.28,0
189.99,189.99,0
186.65,186.65,0
189.78,189.78,0
188.51,188.51,0
187.26,187.26,0
195.03,195.03,0
187.3,187.3,0
178.07,178.07,0
155.25,155.25,0
140.35,140.35,0
131.82,131.82,0
127.61,127.61,0
122.03,122.03,0
119.01,119.01,0
128.65,128.65,0
119.83,119.83,0
119.83,NaN,0
119.83,139.54,0
147.2,147.2,0
150.06,150.06,0
145.25,145.25,0
140.88,140.88,0
139.01,139.01,0
148.41,148.41,0
158.99,158.99,0
157.74,157.74,0
157.74,NaN,0
157.74,151.75,0
132.4,132.4,0
124.26,124.26,0
113.78,113.78,0
104.73,104.73,0
98.082,98.082,0
90.736,90.736,0
85.106,85.106,0
78.705,78.705,0
72.017,72.017,0
67.263,67.263,0
64.317,64.317,0
59.571,59.571,0
54.564,54.564,0
49.094,49.094,0
47.598,47.598,0
46.867,46.867,0
46.725,46.725,0
41.484,41.484,0
39.891,39.891,0
38.905,38.905,0
29.761,29.761,0
32.297,32.297,0
25.81,25.81,0
27.416,27.416,0
21.999,21.999,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
21.999,NaN,0
