fly position,center of mass,laser status
0,NaN,0
0,147.874807,0
0,256.5479764,0
0,353.6802533,0
0,481.3118164,0
476.7603784,476.7603784,0
476.7603784,420.7071077,0
401.940909,401.940909,0
394.5782433,394.5782433,0
390.0515134,390.0515134,0
390.0515134,722.6265696,0
724.1298207,724.1298207,0
708.3136183,708.3136183,0
727.7999877,727.7999877,0
724.7782616,724.7782616,0
730.8235197,730.8235197,0
727.546184,727.546184,0
727.546184,685.5469839,0
727.546184,729.4952407,0
728.4287399,728.4287399,0
738.7691839,738.7691839,0
739.8570089,739.8570089,0
739.8570089,706.4390046,0
739.8570089,753.328977,0
755.2445287,755.2445287,0
756.7613209,756.7613209,0
756.7119426,756.7119426,0
756.7119426,700.8580833,0
756.7119426,762.6384108,0
760.5662367,760.5662367,0
757.8006768,757.8006768,0
757.8006768,NaN,0
757.8006768,290.8650128,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,305.8442405,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,277.7580683,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,382.5370593,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,306.5759195,0
757.8006768,NaN,0
757.8006768,NaN,0
757.8006768,720.2763939,0
719.6487755,719.6487755,0
703.9151922,703.9151922,0
716.801889,716.801889,0
712.0720625,712.0720625,0
710.1467734,710.1467734,0
712.7384671,712.7384671,0
708.8027921,708.8027921,0
711.0806515,711.0806515,0
702.1966728,702.1966728,0
694.7754439,694.7754439,0
688.5730833,688.5730833,0
677.8796421,677.8796421,0
672.4740477,672.4740477,0
665.4752873,665.4752873,0
664.6332805,664.6332805,0
661.8167803,661.8167803,0
655.1918496,655.1918496,0
653.0911717,653.0911717,0
644.3575999,644.3575999,0
639.4145746,639.4145746,0
633.4879251,633.4879251,0
622.0693308,622.0693308,0
622.7489197,622.7489197,0
616.5685768,616.5685768,0
612.296729,612.296729,0
606.5789999,606.5789999,0
594.3062935,594.3062935,0
595.5988739,595.5988739,0
587.6983567,587.6983567,0
583.6837216,583.6837216,0
579.3218376,579.3218376,0
570.0873514,570.0873514,0
569.6214688,569.6214688,0
563.5794301,563.5794301,0
557.1973693,557.1973693,0
550.046016,550.046016,0
536.6015804,536.6015804,0
535.7511026,535.7511026,0
533.0453723,533.0453723,0
528.6821119,528.6821119,0
526.3027552,526.3027552,0
510.8266765,510.8266765,0
511.9609927,511.9609927,0
504.81381,504.81381,0
498.2669514,498.2669514,0
492.6109683,492.6109683,0
478.0923689,478.0923689,0
480.8879447,480.8879447,0
471.8737505,471.8737505,0
466.1909297,466.1909297,0
469.9258988,469.9258988,0
452.2827756,452.2827756,0
471.3871637,471.3871637,0
461.6999745,461.6999745,0
452.4548074,452.4548074,0
449.9365218,449.9365218,0
436.3846944,436.3846944,0
440.9793284,440.9793284,0
433.54628,433.54628,0
426.713608,426.713608,0
423.9300841,423.9300841,0
409.3998139,409.3998139,0
407.3741397,407.3741397,0
399.7254142,399.7254142,0
388.4506453,388.4506453,0
389.886536,389.886536,0
385.2477064,385.2477064,0
383.4996566,383.4996566,0
372.2655745,372.2655745,0
362.6946214,362.6946214,0
358.5216055,358.5216055,0
343.3852555,343.3852555,0
347.0816845,347.0816845,0
341.5803579,341.5803579,0
334.3454525,334.3454525,0
328.2308859,328.2308859,0
317.8521206,317.8521206,0
319.772028,319.772028,0
310.9957581,310.9957581,0
303.6850502,303.6850502,0
301.7661741,301.7661741,0
288.4658148,288.4658148,0
288.3812907,288.3812907,0
281.2762495,281.2762495,0
276.7575036,276.7575036,0
273.1364862,273.1364862,0
263.1374334,263.1374334,0
265.9586552,265.9586552,0
262.8056635,262.8056635,0
250.9654445,250.9654445,0
244.8647447,244.8647447,0
234.5442324,234.5442324,0
231.0654668,231.0654668,0
221.6284577,221.6284577,0
213.9098808,213.9098808,0
211.0657442,211.0657442,0
198.7223796,198.7223796,0
195.271719,195.271719,0
190.4463851,190.4463851,0
191.2321881,191.2321881,0
195.9736943,195.9736943,0
190.4903733,190.4903733,0
193.994058,193.994058,0
189.427443,189.427443,0
191.9305697,191.9305697,0
198.0743517,198.0743517,0
200.7937302,200.7937302,0
194.0782652,194.0782652,0
188.9454134,188.9454134,0
174.7047286,174.7047286,0
168.9494468,168.9494468,0
161.0922605,161.0922605,0
154.5158836,154.5158836,0
147.1298951,147.1298951,0
138.6819958,138.6819958,0
135.8711918,135.8711918,0
127.7139418,127.7139418,0
119.0060613,119.0060613,0
111.1351042,111.1351042,0
106.2051963,106.2051963,0
113.2491484,113.2491484,0
126.1725125,126.1725125,0
126.1725125,NaN,0
126.1725125,119.798168,0
118.4390281,118.4390281,0
136.9158151,136.9158151,0
118.4315977,118.4315977,0
124.7182442,124.7182442,0
114.6256352,114.6256352,0
111.6766522,111.6766522,0
115.1903004,115.1903004,0
114.276595,114.276595,0
111.7939041,111.7939041,0
106.8806073,106.8806073,0
101.129418,101.129418,0
97.14712706,97.14712706,0
87.23387993,87.23387993,0
82.1810908,82.1810908,0
71.96836666,71.96836666,0
65.38473043,65.38473043,0
64.40670483,64.40670483,0
61.99637879,61.99637879,0
54.10886887,54.10886887,0
48.19545816,48.19545816,0
45.13986589,45.13986589,0
39.01682872,39.01682872,0
39.65508234,39.65508234,0
32.77837433,32.77837433,0
33.25495309,33.25495309,0
34.84870443,34.84870443,0
29.18815093,29.18815093,0
29.18815093,59.09821852,0
29.18815093,25.37947424,0
27.94864337,27.94864337,0
23.32837114,23.32837114,0
23.32837114,NaN,0
23.32837114,145.1352268,0
23.32837114,26.74538902,0
22.36259871,22.36259871,0
22.53587159,22.53587159,0
12.91581509,12.91581509,0
12.91581509,470.9169005,0
12.91581509,NaN,0
12.91581509,NaN,0
12.91581509,10.91581509,0
12.91581509,NaN,0
12.91581509,328.8074801,0
12.91581509,NaN,0
12.91581509,NaN,0
12.91581509,NaN,0
12.91581509,NaN,0
12.91581509,290.571629,0
12.91581509,NaN,0
12.91581509,NaN,0
12.91581509,NaN,0
12.91581509,NaN,0
12.91581509,251.6054511,0
12.91581509,NaN,0
12.91581509,25.13684513,0
28.79534155,28.79534155,0
24.36808782,24.36808782,0
24.36808782,203.8831259,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,236.9746386,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,334.386188,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,337.7290681,0
24.36808782,35.4137978,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,330.8672127,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,298.5813695,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,NaN,0
24.36808782,50.9819826,0
33.79300807,33.79300807,0
43.87655412,43.87655412,0
36.31553846,36.31553846,0
36.31553846,NaN,0
36.31553846,37.10364578,0
36.31553846,NaN,0
36.31553846,NaN,0
36.31553846,NaN,0
36.31553846,NaN,0
36.31553846,339.2015294,0
36.31553846,NaN,0
36.31553846,NaN,0
36.31553846,NaN,0
36.31553846,58.72831509,0
60.19802161,60.19802161,0
52.98973396,52.98973396,0
54.60355,54.60355,0
58.468322,58.468322,0
65.66555353,65.66555353,0
76.90211512,76.90211512,0
78.82248175,78.82248175,0
87.20879365,87.20879365,0
91.75804737,91.75804737,0
94.39394307,94.39394307,0
105.9164702,105.9164702,0
109.0425757,109.0425757,0
116.6173356,116.6173356,0
120.6199642,120.6199642,0
122.2250121,122.2250121,0
127.7663473,127.7663473,0
127.7455595,127.7455595,0
134.09964,134.09964,0
136.1880033,136.1880033,0
137.591783,137.591783,0
142.4466802,142.4466802,0
148.2355973,148.2355973,0
155.8938554,155.8938554,0
161.250703,161.250703,0
168.8180728,168.8180728,0
175.4746487,175.4746487,0
181.5398747,181.5398747,0
192.5532935,192.5532935,0
195.2357746,195.2357746,0
200.7176809,200.7176809,0
206.3692399,206.3692399,0
207.1516577,207.1516577,0
213.3158053,213.3158053,0
216.3301952,216.3301952,0
222.7125447,222.7125447,0
230.2718367,230.2718367,0
236.8520958,236.8520958,0
246.3743773,246.3743773,0
251.445968,251.445968,0
259.7422269,259.7422269,0
268.6202274,268.6202274,0
274.2752659,274.2752659,0
280.5678633,280.5678633,0
279.6127081,279.6127081,0
280.7094061,280.7094061,0
287.3049457,287.3049457,0
289.6336574,289.6336574,0
293.9169892,293.9169892,0
294.87529,294.87529,0
299.0070663,299.0070663,0
299.8570045,299.8570045,0
302.3015733,302.3015733,0
310.0176128,310.0176128,0
305.721818,305.721818,0
306.8724047,306.8724047,0
310.9343445,310.9343445,0
318.920191,318.920191,0
330.9135429,330.9135429,0
333.4834928,333.4834928,0
341.8254981,341.8254981,0
348.8626987,348.8626987,0
355.1381311,355.1381311,0
361.5531175,361.5531175,0
359.8457771,359.8457771,0
357.7925645,357.7925645,0
345.2243517,345.2243517,0
342.8843838,342.8843838,0
358.0615798,358.0615798,0
362.3813512,362.3813512,0
361.727921,361.727921,0
368.5052205,368.5052205,0
374.2746326,374.2746326,0
381.8617228,381.8617228,0
382.4690607,382.4690607,0
388.6318521,388.6318521,0
395.2057517,395.2057517,0
400.7311082,400.7311082,0
412.0185838,412.0185838,0
419.4817034,419.4817034,0
428.1313329,428.1313329,0
438.0950116,438.0950116,0
445.3317495,445.3317495,0
457.8323968,457.8323968,0
459.5887059,459.5887059,0
463.7012082,463.7012082,0
460.4045231,460.4045231,0
458.024726,458.024726,0
466.6444308,466.6444308,0
473.6258702,473.6258702,0
483.6292014,483.6292014,0
482.8091947,482.8091947,0
479.9191935,479.9191935,0
480.8919834,480.8919834,0
482.0203222,482.0203222,0
489.2583417,489.2583417,0
495.2497389,495.2497389,0
499.2363954,499.2363954,0
507.7608967,507.7608967,0
508.5868214,508.5868214,0
515.9581409,515.9581409,0
522.2885726,522.2885726,0
520.5307245,520.5307245,0
526.0061895,526.0061895,0
524.8564144,524.8564144,0
528.4111125,528.4111125,0
535.6519673,535.6519673,0
545.5643754,545.5643754,0
547.1941554,547.1941554,0
563.7998328,563.7998328,0
567.9446063,567.9446063,0
574.8842624,574.8842624,0
581.0924158,581.0924158,0
586.7728302,586.7728302,0
589.7070171,589.7070171,0
587.3138192,587.3138192,0
587.8388304,587.8388304,0
590.1955036,590.1955036,0
598.0435068,598.0435068,0
602.1159527,602.1159527,0
607.3065411,607.3065411,0
609.1254069,609.1254069,0
611.4063662,611.4063662,0
620.1915482,620.1915482,0
621.0375814,621.0375814,0
626.7558088,626.7558088,0
628.2854479,628.2854479,0
632.6454664,632.6454664,0
640.3826772,640.3826772,0
643.5362817,643.5362817,0
649.6726515,649.6726515,0
653.6644532,653.6644532,0
662.2331286,662.2331286,0
671.6308033,671.6308033,0
676.5102968,676.5102968,0
689.1891433,689.1891433,0
698.2207155,698.2207155,0
704.7941022,704.7941022,0
712.6172271,712.6172271,0
714.5863179,714.5863179,0
713.2022108,713.2022108,0
714.1946026,714.1946026,0
710.0385797,710.0385797,0
707.300286,707.300286,0
697.2333501,697.2333501,0
692.6521857,692.6521857,0
704.1237132,704.1237132,0
706.2658164,706.2658164,0
699.3855332,699.3855332,0
708.1736984,708.1736984,0
712.0532622,712.0532622,0
713.9247715,713.9247715,0
717.8103682,717.8103682,0
725.8266876,725.8266876,0
732.0462477,732.0462477,0
732.0462477,685.6438373,0
732.0462477,740.4455664,0
745.0874248,745.0874248,0
745.7879171,745.7879171,0
751.9039413,751.9039413,0
737.4403468,737.4403468,0
755.8495409,755.8495409,0
758.570537,758.570537,0
751.6198105,751.6198105,0
758.2475623,758.2475623,0
758.2475623,572.6180832,0
758.2475623,761.0262737,0
762.0156175,762.0156175,0
763.2223364,763.2223364,0
762.7009629,762.7009629,0
762.7009629,457.7413732,0
762.7009629,NaN,0
762.7009629,NaN,0
762.7009629,NaN,0
762.7009629,NaN,0
762.7009629,313.8754564,0
762.7009629,NaN,0
762.7009629,NaN,0
762.7009629,NaN,0
762.7009629,NaN,0
762.7009629,651.4783514,0
762.7009629,735.1876094,0
734.6589865,734.6589865,0
724.9955985,724.9955985,0
731.7445541,731.7445541,0
719.1389706,719.1389706,0
719.1389706,NaN,0
719.1389706,NaN,0
719.1389706,688.5821987,0
719.1389706,NaN,0
719.1389706,681.8405616,0
719.1389706,707.9015697,0
708.146015,708.146015,0
701.5999415,701.5999415,0
698.7367972,698.7367972,0
698.7367972,672.6224016,0
686.7239939,686.7239939,0
682.9998528,682.9998528,0
677.9235683,677.9235683,0
671.0033071,671.0033071,0
671.0033071,642.486797,0
654.5864647,654.5864647,0
647.353738,647.353738,0
640.5926043,640.5926043,0
641.2598667,641.2598667,0
617.3553624,617.3553624,0
634.4743303,634.4743303,0
631.0628471,631.0628471,0
621.3773523,621.3773523,0
615.6458885,615.6458885,0
615.6458885,582.7911194,0
599.0169139,599.0169139,0
591.1245214,591.1245214,0
