fly position,center of mass,laser status
382.78,382.78,0
385.14,385.14,0
390.85,390.85,0
397.41,397.41,0
408.35,408.35,0
415.15,415.15,0
426.3,426.3,0
441.09,441.09,0
457.16,457.16,0
460.82,460.82,0
462.99,462.99,0
463.99,463.99,0
464.94,464.94,0
466.08,466.08,0
465.39,465.39,0
469.12,469.12,0
475.57,475.57,0
484.16,484.16,0
491.13,491.13,0
499.71,499.71,0
509.2,509.2,0
519.06,519.06,0
531.07,531.07,0
534.72,534.72,0
536.54,536.54,0
540.24,540.24,0
546.87,546.87,0
553.55,553.55,0
564.47,564.47,0
574.53,574.53,0
588.79,588.79,0
600.72,600.72,0
609.34,609.34,0
617.71,617.71,0
617.56,617.56,0
617.97,617.97,0
620.21,620.21,0
624.25,624.25,0
628.41,628.41,0
635.44,635.44,0
641.21,641.21,0
647.54,647.54,0
651.25,651.25,0
660.57,660.57,0
669.07,669.07,0
680.86,680.86,0
690.32,690.32,0
698.18,698.18,0
702,702,0
702.95,702.95,0
693.95,693.95,0
697.26,697.26,0
701.9,701.9,0
707.03,707.03,0
713.63,713.63,0
721.29,721.29,0
727.22,727.22,0
733.26,733.26,0
739.33,739.33,0
744.19,744.19,0
749.15,749.15,0
751.87,751.87,0
756.05,756.05,0
759.34,759.34,0
757.25,757.25,0
757.65,757.65,0
759.06,759.06,0
762.08,762.08,0
767,765.33,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,NaN,0
767,743.79,0
738.14,738.14,0
737.08,737.08,0
745.14,745.14,0
761.32,761.32,0
761.32,NaN,0
761.32,NaN,0
761.32,NaN,0
761.32,NaN,0
761.32,NaN,0
761.32,728.37,0
725.56,725.56,0
722.17,722.17,0
719.46,719.46,0
716.61,716.61,0
712.82,712.82,0
705.51,705.51,0
697.36,697.36,0
690.5,690.5,0
681.64,681.64,0
673.13,673.13,0
664.09,664.09,0
655.5,655.5,0
646.01,646.01,0
636.31,636.31,0
630.68,630.68,0
622.38,622.38,0
610.8,610.8,0
601.85,601.85,0
592.57,592.57,0
579.96,579.96,0
570.58,570.58,0
558.26,558.26,0
548.05,548.05,0
538.44,538.44,0
529.82,529.82,0
520.23,520.23,0
509.03,509.03,0
497.46,497.46,0
484.81,484.81,0
473.25,473.25,0
460.29,460.29,0
452.84,452.84,0
441.87,441.87,0
432.18,432.18,0
420.47,420.47,0
406.18,406.18,0
395.56,395.56,0
383.22,383.22,0
371.15,371.15,0
358.05,358.05,0
347.58,347.58,0
335.91,335.91,0
323.62,323.62,0
314.14,314.14,0
302.41,302.41,0
286.98,286.98,0
274.05,274.05,0
259.18,259.18,0
245.44,245.44,0
231.2,231.2,0
220.29,220.29,0
218.47,218.47,0
217.09,217.09,0
218.56,218.56,0
213.62,213.62,0
214.34,214.34,0
212.27,212.27,0
211.13,211.13,0
202.16,202.16,0
194.61,194.61,0
187.35,187.35,0
174.42,174.42,0
163.37,163.37,0
155.21,155.21,0
143.88,143.88,0
134.81,134.81,0
125.7,125.7,0
118.25,118.25,0
115.24,115.24,0
111.34,111.34,0
108.78,108.78,0
106.82,106.82,0
104.92,104.92,0
94.256,94.256,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,517.92,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,NaN,0
94.256,135.31,0
94.256,110.25,0
94.981,94.981,0
82.49,82.49,0
73.822,73.822,0
71.103,71.103,0
64.012,64.012,0
58.132,58.132,0
51.594,51.594,0
45.474,45.474,0
40.663,40.663,0
37.897,37.897,0
37.76,37.76,0
